date,state,daily
2021-03-21,Melaka,0
2021-03-21,Negeri Sembilan,0
2021-03-21,Pahang,3007
2021-03-21,Perak,671
2021-03-21,Perlis,1
2021-03-21,Pulau Pinang,1437
2021-03-21,Sabah,336
2021-03-21,Sarawak,4385
2021-03-21,Selangor,596
2021-03-21,Terengganu,2082
2021-03-21,W.P. Kuala Lumpur,2
2021-03-21,W.P. Labuan,344
2021-03-21,W.P. Putrajaya,0
2021-03-22,Johor,2767
2021-03-22,Kedah,1201
2021-03-22,Kelantan,2080
2021-03-22,Melaka,191
2021-03-22,Negeri Sembilan,1134
2021-03-22,Pahang,1064
2021-03-22,Perak,1906
2021-03-22,Perlis,352
2021-03-22,Pulau Pinang,1649
2021-03-22,Sabah,965
2021-03-22,Sarawak,2458
2021-03-22,Selangor,2844
2021-03-22,Terengganu,1724
2021-03-22,W.P. Kuala Lumpur,3036
2021-03-22,W.P. Labuan,444
2021-03-22,W.P. Putrajaya,438
2021-03-23,Johor,1249
2021-03-23,Kedah,1253
2021-03-23,Kelantan,2786
2021-03-23,Melaka,1229
2021-03-23,Negeri Sembilan,3030
2021-03-23,Pahang,2181
2021-03-23,Perak,3373
2021-03-23,Perlis,533
2021-03-23,Pulau Pinang,1830
2021-03-23,Sabah,653
2021-03-23,Sarawak,822
2021-03-23,Selangor,3756
2021-03-23,Terengganu,2572
2021-03-23,W.P. Kuala Lumpur,3022
2021-03-23,W.P. Labuan,372
2021-03-23,W.P. Putrajaya,479
2021-03-24,Johor,3078
2021-03-24,Kedah,1355
2021-03-24,Kelantan,3300
2021-03-24,Melaka,1322
2021-03-24,Negeri Sembilan,2531
2021-03-24,Pahang,1375
2021-03-24,Perak,1941
2021-03-24,Perlis,530
2021-03-24,Pulau Pinang,1838
2021-03-24,Sabah,563
2021-03-24,Sarawak,622
2021-03-24,Selangor,3875
2021-03-24,Terengganu,2557
2021-03-24,W.P. Kuala Lumpur,3395
2021-03-24,W.P. Labuan,292
2021-03-24,W.P. Putrajaya,487
2021-03-25,Johor,3230
2021-03-25,Kedah,543
2021-03-25,Kelantan,2854
2021-03-25,Melaka,1153
2021-03-25,Negeri Sembilan,2018
2021-03-25,Pahang,1558
2021-03-25,Perak,976
2021-03-25,Perlis,295
2021-03-25,Pulau Pinang,1654
2021-03-25,Sabah,1765
2021-03-25,Sarawak,520
2021-03-25,Selangor,3882
2021-03-25,Terengganu,497
2021-03-25,W.P. Kuala Lumpur,4074
2021-03-25,W.P. Labuan,193
2021-03-25,W.P. Putrajaya,542
2021-03-26,Johor,927
2021-03-26,Kedah,156
2021-03-26,Kelantan,708
2021-03-26,Melaka,715
2021-03-26,Negeri Sembilan,1064
2021-03-26,Pahang,999
2021-03-26,Perak,1268
2021-03-26,Perlis,311
2021-03-26,Pulau Pinang,1075
2021-03-26,Sabah,2411
2021-03-26,Sarawak,1358
2021-03-26,Selangor,3498
2021-03-26,Terengganu,0
2021-03-26,W.P. Kuala Lumpur,1684
2021-03-26,W.P. Labuan,170
2021-03-26,W.P. Putrajaya,354
2021-03-27,Johor,1157
2021-03-27,Kedah,97
2021-03-27,Kelantan,0
2021-03-27,Melaka,306
2021-03-27,Negeri Sembilan,0
2021-03-27,Pahang,3094
2021-03-27,Perak,710
2021-03-27,Perlis,0
2021-03-27,Pulau Pinang,119
2021-03-27,Sabah,3721
2021-03-27,Sarawak,3824
2021-03-27,Selangor,2920
2021-03-27,Terengganu,0
2021-03-27,W.P. Kuala Lumpur,0
2021-03-27,W.P. Labuan,85
2021-03-27,W.P. Putrajaya,0
2021-03-28,Johor,2496
2021-03-28,Kedah,879
2021-03-28,Kelantan,499
2021-03-28,Melaka,306
2021-03-28,Negeri Sembilan,0
2021-03-28,Pahang,800
2021-03-28,Perak,13
2021-03-28,Perlis,0
2021-03-28,Pulau Pinang,113
2021-03-28,Sabah,2696
2021-03-28,Sarawak,5222
2021-03-28,Selangor,283
2021-03-28,Terengganu,3134
2021-03-28,W.P. Kuala Lumpur,0
2021-03-28,W.P. Labuan,83
2021-03-28,W.P. Putrajaya,0
2021-03-29,Johor,3384
2021-03-29,Kedah,3567
2021-03-29,Kelantan,1964
2021-03-29,Melaka,121
2021-03-29,Negeri Sembilan,1257
2021-03-29,Pahang,1139
2021-03-29,Perak,2098
2021-03-29,Perlis,813
2021-03-29,Pulau Pinang,1149
2021-03-29,Sabah,3500
2021-03-29,Sarawak,4306
2021-03-29,Selangor,4161
2021-03-29,Terengganu,3046
2021-03-29,W.P. Kuala Lumpur,4098
2021-03-29,W.P. Labuan,30
2021-03-29,W.P. Putrajaya,403
2021-03-30,Johor,2976
2021-03-30,Kedah,3277
2021-03-30,Kelantan,1735
2021-03-30,Melaka,1241
2021-03-30,Negeri Sembilan,2827
2021-03-30,Pahang,1118
2021-03-30,Perak,2744
2021-03-30,Perlis,1072
2021-03-30,Pulau Pinang,1481
2021-03-30,Sabah,3368
2021-03-30,Sarawak,5129
2021-03-30,Selangor,5431
2021-03-30,Terengganu,2928
2021-03-30,W.P. Kuala Lumpur,5059
2021-03-30,W.P. Labuan,24
2021-03-30,W.P. Putrajaya,370
2021-03-31,Johor,1971
2021-03-31,Kedah,3400
2021-03-31,Kelantan,1341
2021-03-31,Melaka,1621
2021-03-31,Negeri Sembilan,2697
2021-03-31,Pahang,939
2021-03-31,Perak,1716
2021-03-31,Perlis,677
2021-03-31,Pulau Pinang,2151
2021-03-31,Sabah,3191
2021-03-31,Sarawak,4874
2021-03-31,Selangor,5405
2021-03-31,Terengganu,2422
2021-03-31,W.P. Kuala Lumpur,4316
2021-03-31,W.P. Labuan,131
2021-03-31,W.P. Putrajaya,408
2021-04-03,Johor,1968
2021-04-03,Kedah,724
2021-04-03,Kelantan,3408
2021-04-03,Melaka,988
2021-04-03,Negeri Sembilan,1231
2021-04-03,Pahang,1131
2021-04-03,Perak,1028
2021-04-03,Perlis,298
2021-04-03,Pulau Pinang,1124
2021-04-03,Sabah,1746
2021-04-03,Sarawak,453
2021-04-03,Selangor,2263
2021-04-03,Terengganu,4
2021-04-03,W.P. Kuala Lumpur,2436
2021-04-03,W.P. Labuan,209
2021-04-03,W.P. Putrajaya,548
2021-04-04,Johor,3160
2021-04-04,Kedah,1933
2021-04-04,Kelantan,122
2021-04-04,Melaka,0
2021-04-04,Negeri Sembilan,0
2021-04-04,Pahang,852
2021-04-04,Perak,1427
2021-04-04,Perlis,0
2021-04-04,Pulau Pinang,561
2021-04-04,Sabah,2144
2021-04-04,Sarawak,2551
2021-04-04,Selangor,543
2021-04-04,Terengganu,1642
2021-04-04,W.P. Kuala Lumpur,0
2021-04-04,W.P. Labuan,0
2021-04-04,W.P. Putrajaya,1
2021-04-05,Johor,2069
2021-04-05,Kedah,3995
2021-04-05,Kelantan,3402
2021-04-05,Melaka,1140
2021-04-05,Negeri Sembilan,3928
2021-04-05,Pahang,3620
2021-04-05,Perak,3819
2021-04-05,Perlis,956
