date,state,cases_new
2021-09-16,W.P. Labuan,11
2021-09-16,W.P. Putrajaya,22
2021-09-17,Johor,2334
2021-09-17,Kedah,1173
2021-09-17,Kelantan,869
2021-09-17,Melaka,287
2021-09-17,Negeri Sembilan,198
2021-09-17,Pahang,832
2021-09-17,Perak,1596
2021-09-17,Perlis,41
2021-09-17,Pulau Pinang,1462
2021-09-17,Sabah,1533
2021-09-17,Sarawak,3480
2021-09-17,Selangor,2646
2021-09-17,Terengganu,719
2021-09-17,W.P. Kuala Lumpur,366
2021-09-17,W.P. Labuan,10
2021-09-17,W.P. Putrajaya,31
2021-09-18,Johor,2208
2021-09-18,Kedah,1073
2021-09-18,Kelantan,1214
2021-09-18,Melaka,263
2021-09-18,Negeri Sembilan,131
2021-09-18,Pahang,634
2021-09-18,Perak,1120
2021-09-18,Perlis,33
2021-09-18,Pulau Pinang,1375
2021-09-18,Sabah,1395
2021-09-18,Sarawak,2929
2021-09-18,Selangor,1995
2021-09-18,Terengganu,755
2021-09-18,W.P. Kuala Lumpur,382
2021-09-18,W.P. Labuan,11
2021-09-18,W.P. Putrajaya,31
2021-09-19,Johor,1948
2021-09-19,Kedah,809
2021-09-19,Kelantan,1420
2021-09-19,Melaka,207
2021-09-19,Negeri Sembilan,144
2021-09-19,Pahang,705
2021-09-19,Perak,1222
2021-09-19,Perlis,76
2021-09-19,Pulau Pinang,1259
2021-09-19,Sabah,1356
2021-09-19,Sarawak,2707
2021-09-19,Selangor,2028
2021-09-19,Terengganu,671
2021-09-19,W.P. Kuala Lumpur,383
2021-09-19,W.P. Labuan,0
2021-09-19,W.P. Putrajaya,19
2021-09-20,Johor,1598
2021-09-20,Kedah,967
2021-09-20,Kelantan,1050
2021-09-20,Melaka,162
2021-09-20,Negeri Sembilan,125
2021-09-20,Pahang,779
2021-09-20,Perak,1090
2021-09-20,Perlis,51
2021-09-20,Pulau Pinang,1170
2021-09-20,Sabah,1255
2021-09-20,Sarawak,3611
2021-09-20,Selangor,1365
2021-09-20,Terengganu,804
2021-09-20,W.P. Kuala Lumpur,307
2021-09-20,W.P. Labuan,0
2021-09-20,W.P. Putrajaya,11
2021-09-21,Johor,1959
2021-09-21,Kedah,786
2021-09-21,Kelantan,1338
2021-09-21,Melaka,264
2021-09-21,Negeri Sembilan,127
2021-09-21,Pahang,707
2021-09-21,Perak,1184
2021-09-21,Perlis,23
2021-09-21,Pulau Pinang,1417
2021-09-21,Sabah,1291
2021-09-21,Sarawak,3732
2021-09-21,Selangor,1934
2021-09-21,Terengganu,592
2021-09-21,W.P. Kuala Lumpur,359
2021-09-21,W.P. Labuan,12
2021-09-21,W.P. Putrajaya,34
2021-09-22,Johor,1880
2021-09-22,Kedah,1007
2021-09-22,Kelantan,1573
2021-09-22,Melaka,313
2021-09-22,Negeri Sembilan,170
2021-09-22,Pahang,688
2021-09-22,Perak,1490
2021-09-22,Perlis,97
